Code,Month
1427,Feb-19
1428,Mar-19
1429,Apr-19
1430,May-19
1431,Jun-19
1432,Jul-19
1433,Aug-19
1434,Sep-19
1435,Oct-19
1436,Nov-19
1437,Dec-19
1438,Jan-20
1439,Feb-20
1440,Mar-20
1441,Apr-20
1442,May-20
1443,Jun-20
1444,Jul-20
1445,Aug-20
1446,Sep-20
1447,Oct-20
1448,Nov-20
1449,Dec-20
1450,Jan-21
1451,Feb-21
1452,Mar-21
1453,Apr-21
1454,May-21
1455,Jun-21
1456,Jul-21
1457,Aug-21
1458,Sep-21
1459,Oct-21
1460,Nov-21
1461,Dec-21
1462,Jan-22
1463,Feb-22
1464,Mar-22
1465,Apr-22
1466,May-22
1467,Jun-22
1468,Jul-22
1469,Aug-22
1470,Sep-22
1471,Oct-22
1472,Nov-22
1473,Dec-22
1474,Jan-23
1475,Feb-23
1476,Mar-23
1477,Apr-23
1478,May-23
1479,Jun-23
1480,Jul-23
1481,Aug-23
1482,Sep-23
1483,Oct-23
1484,Nov-23
1485,Dec-23
1486,Jan-24
1487,Feb-24
1488,Mar-24
1489,Apr-24
1490,May-24
1491,Jun-24
1492,Jul-24
1493,Aug-24
1494,Sep-24
1495,Oct-24
1496,Nov-24
1497,Dec-24
1498,Jan-25
1499,Feb-25
1500,Mar-25
1501,Apr-25
1502,May-25
1503,Jun-25
1504,Jul-25
1505,Aug-25
1506,Sep-25
1507,Oct-25
1508,Nov-25
1509,Dec-25
1510,Jan-26
1511,Feb-26
1512,Mar-26
1513,Apr-26
1514,May-26
1515,Jun-26
1516,Jul-26
1517,Aug-26
1518,Sep-26
1519,Oct-26
1520,Nov-26
1521,Dec-26
1522,Jan-27
1523,Feb-27
1524,Mar-27
